***** Interaction Log File *****
Date and time: 8/21/2018 12:43:51 AM
Condition: Haptics
t = 2.420171, 2.420171, Start Task 1
=============================================
t = 3.599837, Touch Down, x = 0.9952418, y = -4.113667
t = 11.85372, Touch Move counter-clockwise right, x = 0.5971451, y = -0.7298442
t = 11.871, Touch Move counter-clockwise right, x = 0.9620672, y = -0.7298442
t = 11.88924, Touch Move counter-clockwise right, x = 1.293815, y = -0.7298442
t = 11.90843, Touch Move counter-clockwise right, x = 1.592388, y = -0.7298442
t = 11.92749, Touch Move counter-clockwise right, x = 1.791436, y = -0.7630189
t = 11.94688, Touch Move counter-clockwise right, x = 1.990484, y = -0.7630189
t = 11.96794, Touch Move counter-clockwise right, x = 2.090008, y = -0.7630189
t = 11.98724, Touch Move counter-clockwise right, x = 2.123184, y = -0.7630189
t = 12.0111, Touch Move counter-clockwise right, x = 2.156358, y = -0.7961936
t = 12.07921, Touch Move clockwise right, x = 1.857785, y = -0.8293684
t = 12.10037, Touch Move clockwise right, x = 1.293815, y = -0.8625433
t = 12.12076, Touch Move clockwise right, x = 0.8957181, y = -0.8625433
t = 12.15412, Touch Move clockwise right, x = 0.06634917, y = -0.895718
t = 12.17356, Touch Move clockwise right, x = -0.3649221, y = -0.895718
t = 12.19393, Touch Move clockwise right, x = -0.7298443, y = -0.895718
t = 12.22403, Touch Move clockwise right, x = -1.492863, y = -0.9620675
t = 12.25023, Touch Move clockwise right, x = -2.023659, y = -0.9952422
t = 12.27657, Touch Move clockwise right, x = -2.52128, y = -1.028417
t = 12.29945, Touch Move clockwise right, x = -2.786678, y = -1.028417
t = 12.32022, Touch Move clockwise right, x = -3.1516, y = -1.028417
t = 12.34225, Touch Move clockwise right, x = -3.317474, y = -0.9952422
t = 12.36291, Touch Move clockwise right, x = -3.516522, y = -0.9620675
t = 12.38299, Touch Move clockwise right, x = -3.582872, y = -0.9288928
t = 12.40241, Touch Move clockwise right, x = -3.649221, y = -0.895718
t = 12.50685, Touch Move counter-clockwise right, x = -3.184775, y = -0.9288928
t = 12.5324, Touch Move counter-clockwise right, x = -2.653979, y = -0.9620675
t = 12.5578, Touch Move counter-clockwise right, x = -2.090009, y = -1.028417
t = 12.5845, Touch Move counter-clockwise right, x = -1.492863, y = -1.028417
t = 12.60359, Touch Move counter-clockwise right, x = -1.094766, y = -1.061592
t = 12.63241, Touch Move counter-clockwise right, x = -0.5307959, y = -1.028417
t = 12.65597, Touch Move counter-clockwise right, x = 0.06634917, y = -1.028417
t = 12.68309, Touch Move counter-clockwise right, x = 0.6303197, y = -0.9620675
t = 12.70817, Touch Move counter-clockwise right, x = 1.19429, y = -0.9620675
t = 12.73607, Touch Move counter-clockwise right, x = 1.658737, y = -0.9620675
t = 12.80599, Touch Move counter-clockwise right, x = 2.786678, y = -1.028417
t = 12.90599, Touch Move counter-clockwise right, x = 4.080493, y = -1.094766
t = 12.92332, Touch Move counter-clockwise right, x = 4.246367, y = -1.094766
t = 12.93999, Touch Move counter-clockwise right, x = 4.345891, y = -1.061592
t = 12.95714, Touch Move counter-clockwise right, x = 4.511764, y = -1.028417
t = 12.97346, Touch Move counter-clockwise right, x = 4.677638, y = -0.9952422
t = 12.99003, Touch Move counter-clockwise right, x = 4.810337, y = -0.9288928
t = 13.00659, Touch Move counter-clockwise right, x = 4.909862, y = -0.895718
t = 13.02774, Touch Move counter-clockwise right, x = 5.009386, y = -0.8293684
t = 13.04729, Touch Move counter-clockwise right, x = 5.142085, y = -0.7630189
t = 13.06385, Touch Move counter-clockwise right, x = 5.175259, y = -0.7298442
