***** Interaction Log File *****
Date and time: 8/21/2018 12:33:03 AM
Condition: Haptics
3.62919, Start Task 1
t = 7.201192, Touch Move clockwiseleft, x = -1.559213, y = 2.853027
t = 7.217759, Touch Move clockwiseleft, x = -1.426514, y = 2.819853
t = 7.234326, Touch Move clockwiseleft, x = -1.326989, y = 2.786678
t = 7.250893, Touch Move clockwiseleft, x = -1.194291, y = 2.753503
t = 7.277815, Touch Move clockwiseleft, x = -1.028417, y = 2.687154
t = 7.744342, Touch End, x = 0.7298443, y = 2.653979
t = 8.457759, Touch Down, x = -4.445415, y = -0.5307959
t = 8.490498, Touch Move clockwisedown, x = -4.644464, y = -0.5307959
t = 8.510021, Touch Move clockwisedown, x = -4.943036, y = -0.4976209
t = 8.529166, Touch Move clockwisedown, x = -5.075735, y = -0.4976209
t = 8.54719, Touch Move clockwisedown, x = -5.142085, y = -0.4976209
t = 8.631248, Touch Move clockwisedown, x = -4.943036, y = -0.3649221
t = 8.64975, Touch Move clockwisedown, x = -4.710813, y = -0.3317474
t = 8.679918, Touch Move clockwisedown, x = -4.445415, y = -0.3317474
t = 8.702481, Touch Move counter-clockwiseright, x = -4.180017, y = -0.3317474
t = 8.721479, Touch Move counter-clockwiseright, x = -3.980969, y = -0.3649221
t = 8.742028, Touch Move counter-clockwiseright, x = -3.78192, y = -0.3649221
t = 8.760835, Touch Move counter-clockwiseright, x = -3.582872, y = -0.3649221
t = 8.780911, Touch Move counter-clockwiseright, x = -3.21795, y = -0.3649221
t = 8.799723, Touch Move counter-clockwiseright, x = -2.919377, y = -0.3649221
t = 8.81769, Touch Move counter-clockwiseright, x = -2.58763, y = -0.3649221
t = 8.836185, Touch Move counter-clockwiseright, x = -2.222708, y = -0.3649221
t = 8.857083, Touch Move counter-clockwiseright, x = -1.824611, y = -0.2985727
t = 9.222202, Touch Move clockwiseup, x = 4.677638, y = -0.1658735
t = 9.247077, Touch Move clockwiseup, x = 5.04256, y = -0.2322233
t = 9.2665, Touch Move counter-clockwiseright, x = 5.208434, y = -0.265398
t = 9.294106, Touch Move counter-clockwiseright, x = 5.407482, y = -0.3980968
t = 9.315268, Touch Move counter-clockwiseright, x = 5.440657, y = -0.4644462
t = 9.336857, Touch End, x = 5.440657, y = -0.4644462
t = 9.66974, Touch Down, x = -4.544939, y = -1.161116
t = 9.752584, Touch Move counter-clockwisedown, x = -4.412241, y = -1.194291
t = 9.76915, Touch Move counter-clockwiseright, x = -4.180017, y = -1.161116
t = 9.785706, Touch Move counter-clockwiseright, x = -3.980969, y = -1.127941
t = 9.802272, Touch Move counter-clockwiseright, x = -3.748745, y = -1.061592
t = 9.818838, Touch Move counter-clockwiseright, x = -3.516522, y = -1.028417
t = 9.835405, Touch Move counter-clockwiseright, x = -3.383823, y = -1.028417
t = 9.851972, Touch Move counter-clockwiseright, x = -3.1516, y = -1.028417
t = 9.868548, Touch Move counter-clockwiseright, x = -2.886202, y = -0.9952422
t = 9.885396, Touch Move counter-clockwiseright, x = -2.554455, y = -0.9952422
t = 9.901977, Touch Move counter-clockwiseright, x = -2.255882, y = -0.9620675
t = 9.920942, Touch Move counter-clockwiseright, x = -1.957309, y = -0.9620675
t = 9.940566, Touch Move counter-clockwiseright, x = -1.658737, y = -0.9620675
t = 9.957655, Touch Move counter-clockwiseright, x = -1.360164, y = -0.9620675
t = 9.973699, Touch Move counter-clockwiseright, x = -1.061592, y = -0.9620675
t = 9.990267, Touch Move counter-clockwiseright, x = -0.7630189, y = -0.9620675
t = 10.00683, Touch Move counter-clockwiseright, x = -0.4644463, y = -0.9620675
