***** Interaction Log File *****
Date and time: 8/21/2018 8:59:16 AM
Condition: Haptics
t = 1.403993, Start Question 1
=============================================
t = 3.450498, Start Task 1
=============================================
t = 11.05686, Touch Move counter-clockwise up, x = 5.10891, y = 0.8957177
t = 11.07342, Touch Move counter-clockwise up, x = 5.10891, y = 0.9620671
t = 11.10403, Touch Move counter-clockwise up, x = 5.10891, y = 1.028417
t = 11.12072, Touch Move counter-clockwise up, x = 5.10891, y = 1.127941
t = 11.1379, Touch Move counter-clockwise up, x = 5.142085, y = 1.227466
t = 11.15479, Touch Move counter-clockwise up, x = 5.142085, y = 1.32699
t = 11.17136, Touch Move counter-clockwise up, x = 5.175259, y = 1.393339
t = 11.18792, Touch Move counter-clockwise up, x = 5.175259, y = 1.492863
t = 11.20449, Touch Move counter-clockwise up, x = 5.175259, y = 1.559213
t = 11.22106, Touch Move counter-clockwise up, x = 5.175259, y = 1.691911
t = 11.2381, Touch Move counter-clockwise up, x = 5.175259, y = 1.758261
t = 11.25467, Touch Move counter-clockwise up, x = 5.175259, y = 1.824611
t = 11.27135, Touch Move counter-clockwise up, x = 5.175259, y = 1.924135
t = 11.28791, Touch Move counter-clockwise up, x = 5.175259, y = 1.95731
t = 11.30553, Touch Move counter-clockwise up, x = 5.175259, y = 2.023659
t = 11.3221, Touch Move counter-clockwise up, x = 5.142085, y = 2.090008
t = 11.33867, Touch Move counter-clockwise up, x = 5.142085, y = 2.156358
t = 11.35524, Touch Move counter-clockwise up, x = 5.142085, y = 2.222707
t = 11.3718, Touch Move counter-clockwise up, x = 5.142085, y = 2.322232
t = 11.38837, Touch Move counter-clockwise up, x = 5.142085, y = 2.388582
t = 11.40528, Touch Move counter-clockwise up, x = 5.142085, y = 2.421756
t = 11.4215, Touch Move counter-clockwise up, x = 5.10891, y = 2.488106
t = 11.45464, Touch Move counter-clockwise up, x = 5.10891, y = 2.52128
t = 11.4712, Touch Move counter-clockwise up, x = 5.075735, y = 2.554455
t = 11.488, Touch Move counter-clockwise up, x = 5.04256, y = 2.58763
t = 11.50433, Touch Move counter-clockwise up, x = 4.943036, y = 2.620805
t = 11.52136, Touch Move clockwise up, x = 4.843512, y = 2.620805
t = 11.53793, Touch Move clockwise up, x = 4.710814, y = 2.620805
t = 11.55449, Touch Move counter-clockwise left, x = 4.578114, y = 2.620805
t = 11.57106, Touch Move counter-clockwise left, x = 4.511764, y = 2.620805
t = 11.58763, Touch Move counter-clockwise left, x = 4.312716, y = 2.58763
t = 11.60571, Touch Move counter-clockwise left, x = 4.014143, y = 2.554455
t = 11.62229, Touch Move counter-clockwise left, x = 3.914619, y = 2.52128
t = 11.63891, Touch Move counter-clockwise left, x = 3.715571, y = 2.488106
t = 11.65541, Touch Move counter-clockwise left, x = 3.549697, y = 2.421756
t = 11.67199, Touch Move counter-clockwise left, x = 3.383823, y = 2.355406
t = 11.68855, Touch Move counter-clockwise left, x = 3.251125, y = 2.289057
t = 11.70511, Touch Move counter-clockwise left, x = 3.184775, y = 2.289057
t = 11.72471, Touch Move counter-clockwise left, x = 3.1516, y = 2.289057
t = 11.74127, Touch Move counter-clockwise left, x = 3.118426, y = 2.289057
t = 11.75784, Touch Move counter-clockwise left, x = 3.085251, y = 2.289057
t = 11.87403, Touch Move clockwise left, x = 3.317474, y = 2.388582
t = 11.89162, Touch Move clockwise left, x = 3.483348, y = 2.421756
t = 11.90954, Touch Move clockwise left, x = 3.582871, y = 2.454931
t = 11.9332, Touch Move clockwise left, x = 3.715571, y = 2.488106
