***** Interaction Log File *****
Date and time: 8/21/2018 12:37:53 AM
Condition: Haptics
1.641787, Start Task 1
 =============================================
t = 2.843359, Touch Down, x = 0.2653975, y = -3.881445
t = 13.34825, Touch Move counter-clockwise right, x = 2.58763, y = -0.9620675
t = 13.3907, Touch Move counter-clockwise right, x = 3.84827, y = -0.6634948
t = 13.42765, Touch Move counter-clockwise right, x = 4.578114, y = -0.6966695
t = 13.47079, Touch Move counter-clockwise right, x = 5.075735, y = -1.161116
t = 13.63644, Touch End, x = 4.279541, y = -3.018901
t = 14.0986, Touch Down, x = 5.440657, y = -4.113667
t = 14.16492, Touch End, x = 4.279541, y = -3.018901
15.50259, Start Task 4
 =============================================
t = 16.10269, Touch Down, x = 0.4976214, y = -4.180017
Show Hint
t = 16.20195, Touch End, x = 0, y = 0
t = 16.88887, Touch Down, x = 0.7630189, y = -4.246367
Hide Hint
t = 17.00315, Touch End, x = 0, y = 0
